Episode 2600, Total Reward: 35.33
Episode 2610, Total Reward: 10.30
Episode 2620, Total Reward: 43.58
Episode 2630, Total Reward: 49.52
Episode 2640, Total Reward: 8.30
Episode 2650, Total Reward: 15.38
Episode 2660, Total Reward: 16.64
Episode 2670, Total Reward: 35.26
Episode 2680, Total Reward: 34.62
Episode 2690, Total Reward: 41.49
Episode 2700, Total Reward: 35.90
Episode 2710, Total Reward: 28.91
Episode 2720, Total Reward: 80.47
Episode 2730, Total Reward: 74.60
Episode 2740, Total Reward: 48.06
Episode 2750, Total Reward: 83.91
Episode 2760, Total Reward: 52.91
Episode 2770, Total Reward: 25.82
Episode 2780, Total Reward: 56.26
Episode 2790, Total Reward: 52.58
Episode 2800, Total Reward: 60.50
Episode 2810, Total Reward: 38.78
Episode 2820, Total Reward: 78.03
Episode 2830, Total Reward: 30.28
Episode 2840, Total Reward: 42.54
Episode 2850, Total Reward: 62.88
Episode 2860, Total Reward: 41.21
Episode 2870, Total Reward: 35.36
Episode 2880, Total Reward: 60.43
Episode 2890, Total Reward: 23.14
Episode 2900, Total Reward: 49.93
Episode 2910, Total Reward: 40.41
Episode 2920, Total Reward: 49.78
Episode 2930, Total Reward: 86.42
Episode 2940, Total Reward: 84.55
Episode 2950, Total Reward: 72.60
Episode 2960, Total Reward: 74.29
Episode 2970, Total Reward: 28.97
Episode 2980, Total Reward: 77.91
Episode 2990, Total Reward: 61.44
Episode 3000, Total Reward: 89.87
Episode 3010, Total Reward: 106.59
Episode 3020, Total Reward: 71.32
Episode 3030, Total Reward: 53.11
Episode 3040, Total Reward: 78.04
Episode 3050, Total Reward: 79.66
Episode 3060, Total Reward: 122.19
Episode 3070, Total Reward: 74.53
Episode 3080, Total Reward: 79.11
Episode 3090, Total Reward: 88.72
Episode 3100, Total Reward: 104.63
Episode 3110, Total Reward: 94.77
Episode 3120, Total Reward: 93.07
Episode 3130, Total Reward: 79.25
Episode 3140, Total Reward: 88.06
Episode 3150, Total Reward: 102.74
Episode 3160, Total Reward: 89.82
Episode 3170, Total Reward: 107.16
Episode 3180, Total Reward: 112.97
